"Uniform Distribution (Random)","nlgn","Mergesort1","Mergesort2","Mergesort3","Mergesort4","Mergesort5","QuickSort1","QuickSort2","QuickSort3","QuickSort4","QuickSort5","QuickSort with Insertion1","QuickSort with Insertion2","QuickSort with Insertion3","QuickSort with Insertion4","QuickSort with Insertion5","QuickSort Med 31","QuickSort Med 32","QuickSort Med 33","QuickSort Med 34","QuickSort Med 35","HeapSort1","HeapSort2","HeapSort3","HeapSort4","HeapSort5",
10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500,4483,0,1,1,34,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,
1000,9966,1,0,1,0,0,0,0,1,1,0,0,1,0,58,0,1,0,0,0,1,0,0,1,0,0,
5000,61439,1,2,2,1,3,1,0,0,1,0,0,1,0,0,0,2,1,2,1,2,1,1,0,1,1,
10000,132877,2,2,4,2,3,0,0,0,0,0,1,0,1,0,0,3,7,1,1,9,2,1,1,1,1,
50000,780482,25,32,24,13,13,1,2,1,2,2,2,1,2,1,1,3,3,3,4,4,6,26,6,6,7,
100000,1660964,27,24,26,29,24,3,3,3,4,3,2,3,2,3,3,6,6,6,6,6,13,13,13,14,13,
200000,3521928,52,58,55,51,52,7,7,7,7,8,7,6,6,6,7,14,13,13,13,13,28,28,30,29,29,
500000,9465784,148,142,140,143,138,20,20,25,20,20,21,17,16,17,17,52,41,37,37,36,80,77,79,96,77,
"Normal Distribution","nlgn","Mergesort1","Mergesort2","Mergesort3","Mergesort4","Mergesort5","QuickSort1","QuickSort2","QuickSort3","QuickSort4","QuickSort5","QuickSort with Insertion1","QuickSort with Insertion2","QuickSort with Insertion3","QuickSort with Insertion4","QuickSort with Insertion5","QuickSort Med 31","QuickSort Med 32","QuickSort Med 33","QuickSort Med 34","QuickSort Med 35","HeapSort1","HeapSort2","HeapSort3","HeapSort4","HeapSort5",
10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500,4483,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1000,9966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
5000,61439,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,
10000,132877,2,3,2,2,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,2,1,
50000,780482,12,12,13,11,12,2,2,2,1,2,1,1,1,2,2,4,3,4,3,3,7,7,7,6,8,
100000,1660964,25,24,29,29,25,4,4,4,3,3,3,3,3,5,3,9,9,9,10,11,19,14,14,16,15,
200000,3521928,54,51,53,52,57,7,49,7,7,7,6,6,6,8,7,23,24,23,22,41,37,30,31,31,30,
500000,9465784,142,141,135,141,133,20,21,22,22,22,17,20,16,17,49,104,102,101,100,132,80,102,79,78,108,
"PreSorted","nlgn","Mergesort1","Mergesort2","Mergesort3","Mergesort4","Mergesort5","QuickSort1","QuickSort2","QuickSort3","QuickSort4","QuickSort5","QuickSort with Insertion1","QuickSort with Insertion2","QuickSort with Insertion3","QuickSort with Insertion4","QuickSort with Insertion5","QuickSort Med 31","QuickSort Med 32","QuickSort Med 33","QuickSort Med 34","QuickSort Med 35","HeapSort1","HeapSort2","HeapSort3","HeapSort4","HeapSort5",
10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1000,9966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5000,61439,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,
10000,132877,2,1,2,9,2,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,2,
50000,780482,10,9,9,9,9,2,2,1,2,2,1,2,2,1,1,3,3,3,4,4,7,7,7,6,6,
100000,1660964,18,18,22,18,18,4,3,3,3,3,3,3,3,2,3,6,7,7,6,7,14,13,13,13,14,
200000,3521928,40,41,49,42,38,7,7,7,7,7,6,6,6,6,6,13,13,13,13,13,28,32,29,28,31,
500000,9465784,103,109,105,106,110,20,20,20,19,20,16,16,16,16,17,36,36,36,39,40,77,76,77,76,77,
"Reverse Sorted","nlgn","Mergesort1","Mergesort2","Mergesort3","Mergesort4","Mergesort5","QuickSort1","QuickSort2","QuickSort3","QuickSort4","QuickSort5","QuickSort with Insertion1","QuickSort with Insertion2","QuickSort with Insertion3","QuickSort with Insertion4","QuickSort with Insertion5","QuickSort Med 31","QuickSort Med 32","QuickSort Med 33","QuickSort Med 34","QuickSort Med 35","HeapSort1","HeapSort2","HeapSort3","HeapSort4","HeapSort5",
10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
1000,9966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,
5000,61439,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,
10000,132877,2,2,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,2,
50000,780482,9,8,8,8,9,1,1,2,2,2,2,2,2,2,1,3,3,3,3,3,7,6,6,6,6,
